No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length.1,Byte Address,Info,label,RF_Predictions,SVM_Predictions,GB_Predictions,LR_Predictions,XGboost_Predictions,NN_Binary_Predictions
1,0.0,192.168.1.241,192.168.1.1,COTP,61,0.0,63749.0,102.0,1.0,1.0,128.0,"Jan 23, 2024 01:30:13.030495000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
2,0.132074,192.168.0.2,192.168.0.1,COTP,145,0.0,60414.0,102.0,1.0,1.0,128.0,"Jan 23, 2024 01:30:13.162569000 China Standard Time",0,0.0,0,0.0,0.0,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
3,0.132577,192.168.0.2,192.168.0.1,COTP,61,0.000503,60414.0,102.0,92.0,56.0,128.0,"Jan 23, 2024 01:30:13.163072000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
4,0.132814,192.168.0.2,192.168.0.1,COTP,61,0.000237,60414.0,102.0,99.0,322.0,128.0,"Jan 23, 2024 01:30:13.163309000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
5,0.200259,192.168.0.2,224.0.0.22,IGMPv3,54,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.230754000 China Standard Time",0,0.0,0,0.0,0.0,Membership Report / Leave group 224.0.0.252,Normal,0,1,0,1,0,1
6,0.210569,192.168.0.2,224.0.0.22,IGMPv3,54,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.241064000 China Standard Time",0,0.0,0,0.0,0.0,Membership Report / Join group 224.0.0.252 for any sources,Normal,0,1,0,1,0,1
7,0.211178,192.168.0.2,224.0.0.251,MDNS,81,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.241673000 China Standard Time",0,0.0,0,0.0,0.0,"Standard query 0x0000 ANY DESKTOP-5756DN0.local, ""QM"" question",Normal,0,1,0,1,0,1
8,0.211935,192.168.0.2,224.0.0.251,MDNS,107,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.242430000 China Standard Time",0,0.0,0,0.0,0.0,Standard query response 0x0000 A 192.168.0.2 A 192.168.1.241,Normal,0,1,0,1,0,1
9,0.212202,192.168.0.2,224.0.0.251,MDNS,81,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.242697000 China Standard Time",0,0.0,0,0.0,0.0,"Standard query 0x0000 ANY DESKTOP-5756DN0.local, ""QM"" question",Normal,0,1,0,1,0,1
10,0.212945,192.168.0.2,224.0.0.251,MDNS,81,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.243440000 China Standard Time",0,0.0,0,0.0,0.0,"Standard query 0x0000 ANY DESKTOP-5756DN0.local, ""QM"" question",Normal,0,1,0,1,0,1
11,0.213614,192.168.0.2,224.0.0.252,LLMNR,75,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.244109000 China Standard Time",0,0.0,0,0.0,0.0,Standard query 0xe65c ANY DESKTOP-5756DN0,Normal,0,1,0,1,0,1
12,0.213862,192.168.0.2,224.0.0.251,MDNS,107,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.244357000 China Standard Time",0,0.0,0,0.0,0.0,Standard query response 0x0000 A 192.168.0.2 A 192.168.1.241,Normal,0,1,0,1,0,1
13,0.214332,192.168.0.2,224.0.0.251,MDNS,107,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.244827000 China Standard Time",0,0.0,0,0.0,0.0,Standard query response 0x0000 A 192.168.0.2 A 192.168.1.241,Normal,0,1,0,1,0,1
14,0.288136,192.168.0.2,224.0.0.22,IGMPv3,54,0.0,0.0,0.0,0.0,0.0,1.0,"Jan 23, 2024 01:30:13.318631000 China Standard Time",0,0.0,0,0.0,0.0,Membership Report / Join group 224.0.0.252 for any sources,Normal,0,1,0,1,0,1
15,0.447608,192.168.0.2,192.168.0.1,COTP,145,0.314794,60414.0,102.0,106.0,322.0,128.0,"Jan 23, 2024 01:30:13.478103000 China Standard Time",0,0.0,0,0.0,0.0,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
16,0.448532,192.168.0.2,192.168.0.1,COTP,61,0.000924,60414.0,102.0,197.0,377.0,128.0,"Jan 23, 2024 01:30:13.479027000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
17,0.448726,192.168.0.2,192.168.0.1,COTP,61,0.000194,60414.0,102.0,204.0,643.0,128.0,"Jan 23, 2024 01:30:13.479221000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
18,0.518761,192.168.0.2,192.168.0.1,COTP,61,0.0,60413.0,102.0,1.0,1.0,128.0,"Jan 23, 2024 01:30:13.549256000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
19,0.756319,192.168.0.2,192.168.0.1,COTP,145,0.307593,60414.0,102.0,211.0,643.0,128.0,"Jan 23, 2024 01:30:13.786814000 China Standard Time",0,0.0,0,0.0,0.0,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
20,0.756878,192.168.0.2,192.168.0.1,COTP,61,0.000559,60414.0,102.0,302.0,698.0,128.0,"Jan 23, 2024 01:30:13.787373000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
21,0.757103,192.168.0.2,192.168.0.1,TCP,54,0.000225,60414.0,102.0,309.0,964.0,128.0,"Jan 23, 2024 01:30:13.787598000 China Standard Time",0,0.0,0,0.0,0.0,60414  >  102 [ACK] Seq=309 Ack=964 Win=64240 Len=0,Normal,0,0,0,0,0,0
22,0.757139,192.168.0.2,192.168.0.1,COTP,61,3.6e-05,60414.0,102.0,309.0,964.0,128.0,"Jan 23, 2024 01:30:13.787634000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
23,1.010499,192.168.1.241,192.168.1.1,COTP,61,1.010499,63749.0,102.0,8.0,88.0,128.0,"Jan 23, 2024 01:30:14.040994000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
24,1.072352,192.168.0.2,192.168.0.1,COTP,145,0.315213,60414.0,102.0,316.0,964.0,128.0,"Jan 23, 2024 01:30:14.102847000 China Standard Time",0,0.0,0,0.0,0.0,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
25,1.072884,192.168.0.2,192.168.0.1,COTP,61,0.000532,60414.0,102.0,407.0,1019.0,128.0,"Jan 23, 2024 01:30:14.103379000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
26,1.073063,192.168.0.2,192.168.0.1,COTP,61,0.000179,60414.0,102.0,414.0,1285.0,128.0,"Jan 23, 2024 01:30:14.103558000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
27,1.095714,192.168.0.2,192.168.0.1,COTP,61,0.576953,60413.0,102.0,8.0,50.0,128.0,"Jan 23, 2024 01:30:14.126209000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
28,1.384775,192.168.0.2,192.168.0.1,COTP,145,0.311712,60414.0,102.0,421.0,1285.0,128.0,"Jan 23, 2024 01:30:14.415270000 China Standard Time",0,0.0,0,0.0,0.0,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
29,1.385344,192.168.0.2,192.168.0.1,COTP,61,0.000569,60414.0,102.0,512.0,1340.0,128.0,"Jan 23, 2024 01:30:14.415839000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
30,1.385528,192.168.0.2,192.168.0.1,COTP,61,0.000184,60414.0,102.0,519.0,1606.0,128.0,"Jan 23, 2024 01:30:14.416023000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
31,1.428649,192.168.0.2,192.168.0.1,COTP,61,0.332935,60413.0,102.0,15.0,165.0,128.0,"Jan 23, 2024 01:30:14.459144000 China Standard Time",0,0.0,0,0.0,0.0,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
