No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length.1,Byte Address,Info,label,RF_Predictions,SVM_Predictions,GB_Predictions,LR_Predictions,XGboost_Predictions,NN_Binary_Predictions
1,0.0,192.168.0.2,192.168.0.1,COTP,61,0.0,50339.0,102.0,1.0,1.0,128.0,"Jan 24, 2024 15:28:40.659549000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
2,0.012314,192.168.0.2,192.168.0.1,COTP,145,0.0,50340.0,102.0,1.0,1.0,128.0,"Jan 24, 2024 15:28:40.671863000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
3,0.012802,192.168.0.2,192.168.0.1,COTP,61,0.000488,50340.0,102.0,92.0,55.0,128.0,"Jan 24, 2024 15:28:40.672351000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
4,0.013044,192.168.0.2,192.168.0.1,COTP,61,0.000242,50340.0,102.0,99.0,317.0,128.0,"Jan 24, 2024 15:28:40.672593000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
5,0.326079,192.168.0.2,192.168.0.1,COTP,145,0.313035,50340.0,102.0,106.0,317.0,128.0,"Jan 24, 2024 15:28:40.985628000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
6,0.326631,192.168.0.2,192.168.0.1,COTP,61,0.000552,50340.0,102.0,197.0,371.0,128.0,"Jan 24, 2024 15:28:40.986180000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
7,0.326811,192.168.0.2,192.168.0.1,COTP,61,0.00018,50340.0,102.0,204.0,633.0,128.0,"Jan 24, 2024 15:28:40.986360000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
8,0.361226,192.168.0.2,192.168.0.1,COTP,61,0.361226,50339.0,102.0,8.0,50.0,128.0,"Jan 24, 2024 15:28:41.020775000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
9,0.636229,192.168.0.2,192.168.0.1,COTP,145,0.309418,50340.0,102.0,211.0,633.0,128.0,"Jan 24, 2024 15:28:41.295778000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
10,0.636769,192.168.0.2,192.168.0.1,COTP,61,0.00054,50340.0,102.0,302.0,687.0,128.0,"Jan 24, 2024 15:28:41.296318000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
11,0.637018,192.168.0.2,192.168.0.1,COTP,61,0.000249,50340.0,102.0,309.0,949.0,128.0,"Jan 24, 2024 15:28:41.296567000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
12,0.912779,192.168.0.2,192.168.0.1,COTP,61,0.551553,50339.0,102.0,15.0,165.0,128.0,"Jan 24, 2024 15:28:41.572328000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
13,0.948427,192.168.0.2,192.168.0.1,COTP,145,0.311409,50340.0,102.0,316.0,949.0,128.0,"Jan 24, 2024 15:28:41.607976000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
14,0.948937,192.168.0.2,192.168.0.1,COTP,61,0.00051,50340.0,102.0,407.0,1003.0,128.0,"Jan 24, 2024 15:28:41.608486000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
15,0.949398,192.168.0.2,192.168.0.1,COTP,61,0.000461,50340.0,102.0,414.0,1265.0,128.0,"Jan 24, 2024 15:28:41.608947000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
16,1.264558,192.168.0.2,192.168.0.1,COTP,145,0.31516,50340.0,102.0,421.0,1265.0,128.0,"Jan 24, 2024 15:28:41.924107000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal,0,0,0,0,0,0
17,1.265172,192.168.0.2,192.168.0.1,COTP,61,0.000614,50340.0,102.0,512.0,1319.0,128.0,"Jan 24, 2024 15:28:41.924721000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal,0,0,0,0,0,0
18,1.265468,192.168.0.2,192.168.0.1,TCP,54,0.000296,50340.0,102.0,519.0,1581.0,128.0,"Jan 24, 2024 15:28:41.925017000 China Standard Time",,,,,,50340  >  102 [ACK] Seq=519 Ack=1581 Win=64240 Len=0,Normal,0,0,0,0,0,0
