No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
1,0,192.168.0.2,192.168.0.1,COTP,145,0,56667,102,1,1,128,"Jan 22, 2024 16:20:41.916356000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
2,0.000499,192.168.0.2,192.168.0.1,COTP,61,0.000499,56667,102,92,55,128,"Jan 22, 2024 16:20:41.916855000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
3,0.00071,192.168.0.2,192.168.0.1,COTP,61,0.000211,56667,102,99,317,128,"Jan 22, 2024 16:20:41.917066000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
4,0.077318,192.168.0.2,192.168.0.1,COTP,61,0,56665,102,1,1,128,"Jan 22, 2024 16:20:41.993674000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
5,0.316463,192.168.0.2,192.168.0.1,COTP,145,0.315753,56667,102,106,317,128,"Jan 22, 2024 16:20:42.232819000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
6,0.317119,192.168.0.2,192.168.0.1,COTP,61,0.000656,56667,102,197,371,128,"Jan 22, 2024 16:20:42.233475000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
7,0.317496,192.168.0.2,192.168.0.1,COTP,61,0.000377,56667,102,204,633,128,"Jan 22, 2024 16:20:42.233852000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
8,0.439631,192.168.1.241,192.168.1.1,COTP,61,0,62991,102,1,1,128,"Jan 22, 2024 16:20:42.355987000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
9,0.625359,192.168.0.2,192.168.0.1,COTP,145,0.307863,56667,102,211,633,128,"Jan 22, 2024 16:20:42.541715000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
10,0.625924,192.168.0.2,192.168.0.1,COTP,61,0.000565,56667,102,302,687,128,"Jan 22, 2024 16:20:42.542280000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
11,0.626078,192.168.0.2,192.168.0.1,COTP,61,0.000154,56667,102,309,949,128,"Jan 22, 2024 16:20:42.542434000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
12,0.720879,192.168.0.13,192.168.0.1,TCP,60,0,48370,102,1,1,64,"Jan 22, 2024 16:20:42.637235000 China Standard Time",,,,,,48370  >  102 [ACK] Seq=1 Ack=1 Win=64053 Len=0,Abnormal
13,0.938629,192.168.0.2,192.168.0.1,COTP,145,0.312551,56667,102,316,949,128,"Jan 22, 2024 16:20:42.854985000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
14,0.939178,192.168.0.2,192.168.0.1,COTP,61,0.000549,56667,102,407,1003,128,"Jan 22, 2024 16:20:42.855534000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
15,0.93936,192.168.0.2,192.168.0.1,COTP,61,0.000182,56667,102,414,1265,128,"Jan 22, 2024 16:20:42.855716000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
16,0.986445,192.168.0.2,192.168.0.1,COTP,61,0.909127,56665,102,8,131,128,"Jan 22, 2024 16:20:42.902801000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
17,1.249735,192.168.0.2,192.168.0.1,COTP,145,0.310375,56667,102,421,1265,128,"Jan 22, 2024 16:20:43.166091000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
18,1.250466,192.168.0.2,192.168.0.1,COTP,61,0.000731,56667,102,512,1319,128,"Jan 22, 2024 16:20:43.166822000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
19,1.250749,192.168.0.2,192.168.0.1,TCP,54,0.000283,56667,102,519,1581,128,"Jan 22, 2024 16:20:43.167105000 China Standard Time",,,,,,56667  >  102 [ACK] Seq=519 Ack=1581 Win=64240 Len=0,Normal
20,1.251026,192.168.0.2,192.168.0.1,COTP,61,0.000277,56667,102,519,1581,128,"Jan 22, 2024 16:20:43.167382000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
21,1.451164,192.168.1.241,192.168.1.1,COTP,61,1.011533,62991,102,8,87,128,"Jan 22, 2024 16:20:43.367520000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
